county,year,CAUSE,sex,ageG,Ndeaths,YLL,pop,US2000POP
California,2010,A01,Female,85 - 999,4,33.62,395777.0037747704,4259
California,2010,A01,Total,0 - 4,0,0,2525999.99210628,18987
California,2010,A01,Total,15 - 24,1,71.06,5596840.4688891005,38077
California,2010,A01,Total,25 - 34,3,191.31,5338068.65750252,37233
California,2010,A01,Total,35 - 44,6,300.36,5177189.83346018,44659
California,2010,A01,Total,45 - 54,12,507.37,5251633.09380686,37030
California,2010,A01,Total,5 - 14,0,0,5086518.2222786,39977
California,2010,A01,Total,55 - 64,16,525.48,4077244.17225021,23961
California,2010,A01,Total,65 - 74,23,544.36,2295640.7917253,18136
California,2010,A01,Total,75 - 84,26,370.81,1374145.00347759,12315
California,2010,A01,Total,85 - 999,22,178.87,610302.7645322314,4259
California,2010,A02,Male,0 - 4,0,0,1291229.64820253,18987
California,2010,A02,Male,15 - 24,14,992.91,2904940.7817453,38077
California,2010,A02,Male,25 - 34,49,3033.62,2728380.48390666,37233
California,2010,A02,Male,35 - 44,127,6570.34,2603043.66772075,44659
California,2010,A02,Male,45 - 54,249,10703.55,2609657.18058244,37030
California,2010,A02,Male,5 - 14,0,0,2599921.36979385,39977
California,2010,A02,Male,55 - 64,140,4718.88,1969247.18607936,23961
California,2010,A02,Male,65 - 74,38,929.97,1063816.78529905,18136
California,2010,A02,Male,75 - 84,9,144.22,585371.370720331,12315
California,2010,A02,Male,85 - 999,3,26.15,214525.76075746102,4259
California,2010,A02,Female,0 - 4,0,0,1234770.34390375,18987
California,2010,A02,Female,15 - 24,3,211.2,2691899.6871438,38077
California,2010,A02,Female,25 - 34,8,483.99,2609688.17359586,37233
California,2010,A02,Female,35 - 44,22,1139.54,2574146.16573943,44659
California,2010,A02,Female,45 - 54,44,1879.7,2641975.91322442,37030
California,2010,A02,Female,5 - 14,1,83.03,2486596.85248475,39977
California,2010,A02,Female,55 - 64,23,759.8299999999999,2107996.9861708498,23961
California,2010,A02,Female,65 - 74,8,198.45,1231824.0064262499,18136
California,2010,A02,Female,75 - 84,4,66.12,788773.6327572591,12315
California,2010,A02,Female,85 - 999,2,14.399999999999999,395777.0037747704,4259
California,2010,A02,Total,0 - 4,0,0,2525999.99210628,18987
California,2010,A02,Total,15 - 24,17,1204.11,5596840.4688891005,38077
California,2010,A02,Total,25 - 34,57,3517.61,5338068.65750252,37233
California,2010,A02,Total,35 - 44,149,7709.88,5177189.83346018,44659
California,2010,A02,Total,45 - 54,293,12583.25,5251633.09380686,37030
California,2010,A02,Total,5 - 14,1,83.03,5086518.2222786,39977
California,2010,A02,Total,55 - 64,163,5478.71,4077244.17225021,23961
California,2010,A02,Total,65 - 74,46,1128.42,2295640.7917253,18136
California,2010,A02,Total,75 - 84,13,210.34,1374145.00347759,12315
California,2010,A02,Total,85 - 999,5,40.55,610302.7645322314,4259
California,2010,A02a,Male,0 - 4,0,0,1291229.64820253,18987
California,2010,A02a,Male,15 - 24,0,0,2904940.7817453,38077
California,2010,A02a,Male,25 - 34,0,0,2728380.48390666,37233
California,2010,A02a,Male,35 - 44,0,0,2603043.66772075,44659
California,2010,A02a,Male,45 - 54,0,0,2609657.18058244,37030
California,2010,A02a,Male,5 - 14,0,0,2599921.36979385,39977
California,2010,A02a,Male,55 - 64,0,0,1969247.18607936,23961
California,2010,A02a,Male,65 - 74,1,25.02,1063816.78529905,18136
California,2010,A02a,Male,75 - 84,0,0,585371.370720331,12315
California,2010,A02a,Male,85 - 999,0,0,214525.76075746102,4259
California,2010,A02a,Female,0 - 4,0,0,1234770.34390375,18987
California,2010,A02a,Female,15 - 24,0,0,2691899.6871438,38077
California,2010,A02a,Female,25 - 34,1,63.11,2609688.17359586,37233
California,2010,A02a,Female,35 - 44,1,52.2,2574146.16573943,44659
California,2010,A02a,Female,45 - 54,0,0,2641975.91322442,37030
California,2010,A02a,Female,5 - 14,0,0,2486596.85248475,39977
California,2010,A02a,Female,55 - 64,0,0,2107996.9861708498,23961
California,2010,A02a,Female,65 - 74,1,20.4,1231824.0064262499,18136
California,2010,A02a,Female,75 - 84,2,36.370000000000005,788773.6327572591,12315
